"Category","Kumulativt antall personer vaksinert med 1.dose","Kumulativt antall personer vaksinert med 2.dose","Antall personer vaksinert med 1.dose","Antall personer vaksinert med 2.dose"
"2020-12-27",5,0,5,0
"2020-12-28",607,0,602,0
"2020-12-29",1674,0,1067,0
"2020-12-30",2098,0,424,0
"2020-12-31",2170,0,72,0
"2021-01-01",2176,0,6,0
"2021-01-02",2176,0,0,0
"2021-01-03",2179,0,3,0
"2021-01-04",2185,0,6,0
"2021-01-05",5569,0,3384,0
"2021-01-06",14630,0,9061,0
"2021-01-07",21203,0,6573,0
"2021-01-08",22817,0,1614,0
"2021-01-09",22951,0,134,0
"2021-01-10",23058,0,107,0
"2021-01-11",23406,0,348,0
"2021-01-12",27670,0,4264,0
"2021-01-13",37442,0,9772,0
"2021-01-14",45889,0,8447,0
"2021-01-15",50359,0,4470,0
"2021-01-16",51101,0,742,0
"2021-01-17",51443,5,342,5
"2021-01-18",52730,288,1287,283
"2021-01-19",57311,1059,4581,771
"2021-01-20",67347,1752,10036,693
"2021-01-21",75764,1920,8417,168
"2021-01-22",79061,1927,3297,7
"2021-01-23",79414,1927,353,0
"2021-01-24",79480,1927,66,0
"2021-01-25",80054,1927,574,0
"2021-01-26",82301,4056,2247,2129
"2021-01-27",93613,11562,11312,7506
"2021-01-28",104417,18099,10804,6537
"2021-01-29",108177,20184,3760,2085
"2021-01-30",108306,20354,129,170
"2021-01-31",108386,20404,80,50
"2021-02-01",108566,20702,180,298
"2021-02-02",114865,23837,6299,3135
"2021-02-03",139580,32130,24715,8293
"2021-02-04",165279,40699,25699,8569
"2021-02-05",175763,45519,10484,4820
"2021-02-06",176564,46252,801,733
"2021-02-07",176884,46546,320,294
"2021-02-08",177004,47468,120,922
"2021-02-09",182433,50684,5429,3216
"2021-02-10",205024,59236,22591,8552
"2021-02-11",225519,67702,20495,8466
"2021-02-12",233377,71213,7858,3511
"2021-02-13",234175,71516,798,303
"2021-02-14",234285,71517,110,1
"2021-02-15",235085,72263,800,746
"2021-02-16",240879,74331,5794,2068
"2021-02-17",261533,83789,20654,9458
"2021-02-18",278379,93251,16846,9462