date,location,total_vaccinations,people_fully_vaccinated,people_vaccinated,vaccine,source_url
2020-12-27,Romania,965,0,965,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-28,Romania,2066,0,2066,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-29,Romania,2778,0,2778,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-30,Romania,5666,0,5666,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2020-12-31,Romania,10289,0,10289,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-01,Romania,11656,0,11656,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-02,Romania,13242,0,13242,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-03,Romania,13596,0,13596,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-04,Romania,25508,0,25508,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-05,Romania,41609,0,41609,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-06,Romania,58554,0,58554,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-07,Romania,76400,0,76400,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-08,Romania,92706,0,92706,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-09,Romania,102301,0,102301,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-10,Romania,108294,0,108294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-11,Romania,125190,0,125190,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-12,Romania,140447,0,140447,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-13,Romania,154268,0,154268,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-14,Romania,168089,0,168089,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-15,Romania,184146,0,184146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-16,Romania,196567,0,196567,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-17,Romania,204662,875,203787,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-18,Romania,234899,1950,232949,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-19,Romania,269706,2621,267085,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-20,Romania,308044,5813,302231,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-21,Romania,347756,9843,337913,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-22,Romania,385596,11254,374342,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-23,Romania,418545,12878,405667,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-24,Romania,445945,13155,432790,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-25,Romania,484291,25063,459228,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-26,Romania,528038,40666,487372,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-27,Romania,570364,57274,513090,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-28,Romania,609056,75049,534007,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-29,Romania,646660,92075,554585,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-30,Romania,672056,101304,570752,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-01-31,Romania,691075,106196,584879,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-01,Romania,720844,123048,597796,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-02,Romania,748392,138348,610044,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-03,Romania,771862,152025,619837,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-04,Romania,794455,165515,628940,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-05,Romania,821212,182665,638547,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-06,Romania,840472,193121,647351,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-07,Romania,855982,200144,655838,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-08,Romania,891008,230285,660723,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-09,Romania,929815,263212,666603,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-10,Romania,970627,299518,671109,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-11,Romania,1009081,334187,674894,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-12,Romania,1048456,369464,678992,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-13,Romania,1083755,400749,683006,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-14,Romania,1113634,427340,686294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-15,Romania,1150771,454168,696603,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-16,Romania,1188673,481340,707333,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-17,Romania,1231992,505479,726513,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-18,Romania,1271812,526475,745337,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-19,Romania,1309940,547115,762825,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-20,Romania,1342864,562771,780093,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-21,Romania,1370808,576125,794683,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-22,Romania,1400673,589640,811033,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-23,Romania,1430017,601572,828445,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-24,Romania,1458234,611552,846682,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-25,Romania,1478492,614546,863946,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-26,Romania,1497617,615964,881653,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-27,Romania,1513321,616594,896727,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-02-28,Romania,1524457,617111,907346,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-01,Romania,1556606,618240,938366,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-02,Romania,1594764,619182,975582,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-03,Romania,1633449,619808,1013641,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-04,Romania,1677187,627159,1050028,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-05,Romania,1724540,636053,1088487,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-06,Romania,1773178,644707,1128471,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-07,Romania,1818362,652567,1165795,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-08,Romania,1861820,657741,1204079,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-09,Romania,1910020,663642,1246378,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-10,Romania,1961422,672685,1288737,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-11,Romania,2011333,682929,1328404,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-12,Romania,2060719,693548,1367171,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-13,Romania,2109441,704229,1405212,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-14,Romania,2152140,713206,1438934,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-15,Romania,2201716,722956,1478760,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-16,Romania,2261700,738641,1523059,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-17,Romania,2315981,751939,1564042,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-18,Romania,2367906,760753,1607153,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-19,Romania,2417767,767921,1649846,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-20,Romania,2468671,772647,1696024,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-21,Romania,2513088,775407,1737681,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-22,Romania,2560284,798729,1761555,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-23,Romania,2618346,826089,1792257,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-24,Romania,2677454,854400,1823054,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-25,Romania,2736340,883117,1853223,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-26,Romania,2791471,911862,1879609,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-27,Romania,2850018,943557,1906461,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-28,Romania,2904731,973670,1931061,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-29,Romania,2957189,1002464,1954725,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-30,Romania,3021607,1039638,1981969,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-03-31,Romania,3079868,1072985,2006883,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-01,Romania,3137483,1105375,2032108,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-02,Romania,3195452,1138301,2057151,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-03,Romania,3250877,1168837,2082040,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-04,Romania,3299212,1196714,2102498,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-05,Romania,3350582,1226982,2123600,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-06,Romania,3405531,1258049,2147482,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-07,Romania,3460870,1288487,2172383,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-08,Romania,3517693,1319863,2197830,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
2021-04-09,Romania,3571982,1351608,2220374,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://datelazi.ro/
