date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2020-12-30,7864.0,7864.0,,,,
2020-12-31,,,,,,
2021-01-01,,,,,,
2021-01-02,,,,,,
2021-01-03,12285.0,12285.0,,,,
2021-01-04,,,,,,
2021-01-05,13798.0,13798.0,,,,
2021-01-06,,,,,,
2021-01-07,20603.0,20603.0,,,,
2021-01-08,24985.0,24985.0,,,,
2021-01-09,30000.0,30000.0,,,,
2021-01-10,,,,,,
2021-01-11,,,,,,
2021-01-12,,,,,,
2021-01-13,34553.0,34553.0,,,,
2021-01-14,38000.0,38000.0,,,,
2021-01-15,41532.0,41532.0,,,,
2021-01-16,45906.0,45906.0,,,,
2021-01-17,,,,,,
2021-01-18,,,,,,
2021-01-19,54304.0,54304.0,,,,
2021-01-20,,,,,,
2021-01-21,,,,,,
2021-01-22,64951.0,,,,,
2021-01-23,,,,,,
2021-01-24,,,,,,
2021-01-25,69984.0,58077.0,11907.0,,,
2021-01-26,,,,,,
2021-01-27,,,,,,
2021-01-28,,,,,,
2021-01-29,80000.0,,,,,
2021-01-30,,,,,,
2021-01-31,,,,,,
2021-02-01,83928.0,58829.0,25099.0,,,
2021-02-02,,,,,,
2021-02-03,87929.0,59064.0,28865.0,,,
2021-02-04,95505.0,59593.0,35912.0,,,
2021-02-05,,,,,,
2021-02-06,,,,,,
2021-02-07,,,,,,
2021-02-08,,,,,,
2021-02-09,102207.0,61241.0,41966.0,,,
2021-02-10,,,,,,
2021-02-11,112774.0,64775.0,47969.0,,,
2021-02-12,,,,,,
2021-02-13,,,,,,
2021-02-14,,,,,,
2021-02-15,120603.0,67825.0,52778.0,,,
2021-02-16,,,,,,
2021-02-17,,,,,,
2021-02-18,142222.0,87169.0,55053.0,,,
2021-02-19,,,,,,
2021-02-20,,,,,,
2021-02-21,,,,,,
2021-02-22,166146.0,108311.0,57835.0,,,
2021-02-23,,,,,,
2021-02-24,184076.0,125771.0,58305.0,,,
2021-02-25,194267.0,135756.0,58511.0,,,
2021-02-26,,,,,,
2021-02-27,,,,,,
2021-02-28,,,,,,
2021-03-01,213068.0,153085.0,59983.0,,,
2021-03-02,,,,,,
2021-03-03,,,,,,
2021-03-04,242000.0,182000.0,60000.0,,,
2021-03-05,,,,,,
2021-03-06,,,,,,
2021-03-07,,,,,,
2021-03-08,265223.0,202167.0,63056.0,,,
2021-03-09,,,,,,
2021-03-10,,,,,,
2021-03-11,,,,,,
2021-03-12,300956.0,233423.0,67533.0,,,
2021-03-13,,,,,,
2021-03-14,,,,,,
2021-03-15,,,,,,
2021-03-16,,,,,,
2021-03-17,,,,,,
2021-03-18,,,,,,
2021-03-19,365082.0,288622.0,76460.0,,,
2021-03-20,,,,,,
2021-03-21,,,,,,
2021-03-22,390657.0,311448.0,79209.0,,,
2021-03-23,,,,,,
2021-03-24,,,,,,
2021-03-25,,,,,,
2021-03-26,416745.0,335916.0,80829.0,,,
2021-03-27,,,,,,
2021-03-28,430396.0,348648.0,81748.0,,,
2021-03-29,,,,,,
2021-03-30,,,,,,
2021-03-31,476499.0,385724.0,89313.0,,,
2021-04-01,498417.0,404518.0,92380.0,,,
2021-04-02,517112.0,419431.0,96047.0,,,
2021-04-03,,,,,,
2021-04-04,524371.0,426037.0,98334.0,,,
2021-04-05,,,,,,
2021-04-06,526414.0,427387.0,99027.0,,,
2021-04-07,533409.0,432601.0,100808.0,,,
2021-04-08,543436.0,440890.0,102546.0,,,
2021-04-09,565785.0,458762.0,107023.0,,,
2021-04-10,583931.0,473522.0,110409.0,,,
2021-04-11,588183.0,477617.0,110566.0,,,
2021-04-12,595369.0,483825.0,111544.0,,,
2021-04-13,605423.0,491601.0,113822.0,,,
2021-04-14,617516.0,500233.0,117283.0,,,
2021-04-15,643834.0,519375.0,124459.0,,,
2021-04-16,671839.0,539487.0,132352.0,,,
2021-04-17,691265.0,552559.0,138706.0,,,
2021-04-18,693530.0,553883.0,139647.0,,,
2021-04-19,698032.0,556969.0,141063.0,,,
2021-04-20,708960.0,565164.0,143796.0,,,
2021-04-21,726315.0,578273.0,148042.0,,,
2021-04-22,746878.0,593972.0,152906.0,,,
2021-04-23,770221.0,611792.0,158429.0,,,
2021-04-24,785869.0,621077.0,164792.0,,,
2021-04-25,795597.0,627216.0,168381.0,,,
2021-04-26,798717.0,629108.0,169609.0,,,
2021-04-27,812984.0,639564.0,173420.0,,,
2021-04-28,825839.0,648709.0,177130.0,,,
2021-04-29,872726.0,682757.0,189969.0,Croatia,,
2021-04-30,901120.0,702470.0,198650.0,Croatia,,
2021-05-02,908839.0,708137.0,200702.0,Croatia,,
2021-05-03,921527.0,716861.0,204666.0,Croatia,,
2021-05-04,944398.0,734556.0,209842.0,Croatia,,
2021-05-05,979181.0,760805.0,218376.0,Croatia,,
2021-05-07,1078760.0,835320.0,243440.0,Croatia,,
2021-05-08,1117709.0,867621.0,250088.0,Croatia,,
2021-05-09,1131607.0,879312.0,252295.0,Croatia,,
2021-05-10,1154319.0,894881.0,259438.0,Croatia,,
2021-05-11,1186581.0,919139.0,267442.0,Croatia,,
2021-05-13,1268281.0,980177.0,288104.0,Croatia,,
2021-05-14,1310456.0,1009609.0,300847.0,Croatia,,
2021-05-15,1346991.0,1039233.0,307758.0,Croatia,,
2021-05-16,1349447.0,1041215.0,308232.0,Croatia,,
2021-05-17,1369969.0,1052032.0,317937.0,Croatia,,
2021-05-19,1450169.0,1109161.0,341008.0,Croatia,,
2021-05-21,1507353.0,1149941.0,357412.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-22,1581292.0,1179998.0,401294.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-23,1582821.0,1181255.0,401566.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-24,1605287.0,1195088.0,410199.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-25,1608291.0,1197164.0,411127.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-26,1645332.0,1221109.0,424223.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-27,1686585.0,1240309.0,446276.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-28,1722430.0,1254659.0,467771.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-29,1748726.0,1270392.0,478334.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-05-30,1751087.0,1272513.0,478574.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-01,1803557.0,1293847.0,509710.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-02,1847314.0,1312272.0,535042.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-03,1855003.0,1317038.0,537965.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-04,1885772.0,1329754.0,556018.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-05,1902092.0,1337469.0,564623.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-06,1903673.0,1338154.0,565519.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-07,1920656.0,1345741.0,574915.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-06-08,1947784.0,1357103.0,590681.0,Croatia,https://www.koronavirus.hr,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
